,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,162.82935,163.61296,163.48488,162.23499,160.4855,158.69151,157.1063,155.28056,154.84972,155.45488,156.40477,157.6596,158.80661,160.00323,161.15512,161.7997,162.36789,162.91699,163.06653,162.57639,161.47751,160.93118,160.71678,160.65355,160.55562,160.04762,159.17595,158.39076,157.66093,157.29364,157.25267,157.14105,156.2818,154.92624,153.20538,151.45491,150.19818,148.9633,147.84354,146.69777,145.22679,144.12677,143.34642,142.29175,141.35457,140.41626,140.06946,140.11343,140.43123,141.16559,142.0348,143.0416,144.146,145.10968,145.91203,146.829,148.05714,149.47375,150.7753,152.12216,153.56448,154.58253,155.43135,156.2192,157.484,159.25696,160.80394,162.42264,163.5934,164.3094,164.72891,165.25894,165.70267,166.30086,166.72812,166.90675,166.48978,165.87071,165.25104,164.391,163.64162,162.95999,162.15627,161.44833,161.42247,162.04483,162.69672,163.46118,163.94704,164.0181,164.088,164.36714,164.76125,165.4956,166.22652,167.15918,168.29926,169.26256,170.16957,171.09264,171.70068,172.02396,172.51341,173.19478,174.18594,175.36891,176.46794,177.20702,177.79474,177.93594,177.70778,177.23378,177.292,177.544,177.88684,178.38579,179.03938,179.59123,179.8593,179.99646,179.86905,179.62482,179.86375,180.44006,181.1233,181.68033,182.0004,181.98247,182.67554,183.59898,184.36418,185.18727,185.96071,186.49397,186.79886,186.95367,187.0814,187.4425,187.88235,188.21278,188.16264,187.97112,187.84796,188.03856,188.5676,189.20355,190.15791,191.25542,192.15497,192.8289,193.15706,193.59227,194.05374,194.80199,195.54343,196.28607,197.18147,197.92004,198.52264,198.86891,199.40102,199.9062,200.19003,200.66167,201.2887,201.96193,203.08974,204.121,204.88536,205.49577,205.824,205.74394,205.41754,205.19127,205.10939,205.12338,205.56548,206.12294,206.84805,207.34566,207.55869,207.70354,207.88516,208.15807,208.29474,208.66089,209.14998,209.55193,209.52917,209.15797,207.60356,205.33258,203.04912,200.79222,198.77402,197.07172,195.90541,194.90121,194.01158,192.99173,192.0875,191.48184,191.24078,191.64787,191.78427,192.0667,192.55034,193.52245,195.01828,196.6308,198.32063,199.88576,200.44154,199.86594,198.87003,197.87067,196.6092,195.13484,193.89171,192.7989,192.2438,192.1293,191.84984,191.37361,190.9514,190.73581,190.17296,189.35123,188.51518,187.80939,187.5264,187.32224,187.3399,187.60355,188.25328,189.18974,190.10326,191.07806,192.07349,192.75645,193.20616,193.3051,193.07237,192.65434,191.88937,191.0566,190.31863,189.43768,188.11935,186.89133,186.05212,185.5418,185.62006,186.38591,187.30878,188.52745,190.0485
1,234.8542,233.42825,231.20149,228.2511,225.96465,224.90364,224.70056,224.54996,226.27232,229.1719,231.81111,234.0632,235.82103,237.1059,237.94284,238.52866,239.21039,240.11377,241.01733,241.24323,240.96063,241.93816,243.3865,244.96169,245.93715,245.98639,245.48286,245.05501,244.50964,244.69197,245.66725,246.97421,247.47675,247.08781,245.8587,244.47777,243.4356,242.05937,240.74161,239.42732,238.02908,237.39957,237.11191,237.01936,235.99568,233.94989,231.86888,230.20818,229.12086,229.13818,229.99533,231.26736,232.72299,233.65079,233.81218,234.37834,235.30377,236.25352,236.96489,238.21193,239.5954,240.34473,241.2016,242.49982,245.07288,247.3598,249.09424,251.44478,253.73,255.40343,256.5198,258.06366,259.71484,260.93958,261.07254,260.22787,258.43497,256.26083,254.48044,252.54306,250.87161,249.46005,248.038,247.27744,247.36267,248.036,248.66438,249.15935,249.38477,249.06425,249.04146,249.85483,251.4684,254.40898,258.01205,260.7906,262.99396,264.46973,265.95102,267.54172,268.55637,269.05017,269.77008,270.875,272.48947,274.05847,275.4253,276.23102,277.42926,278.429,278.53265,278.26074,278.49188,278.54474,278.8038,279.08752,279.36713,279.36957,279.20517,278.55792,277.0912,277.49127,279.73096,282.90125,286.00098,288.68842,290.729,292.29712,293.98407,295.28662,296.06766,297.06363,297.78693,298.1758,298.40643,298.7732,299.40222,300.57343,301.84808,303.33868,304.10898,304.29865,305.47946,307.7222,310.03128,311.80392,313.55997,315.3758,317.04477,318.18463,317.79803,316.9448,316.10663,315.92465,316.34576,317.3565,319.72137,321.80283,323.05728,323.26453,323.61087,323.42554,322.31857,321.57138,321.2007,320.98,321.4783,321.97568,322.45297,323.20584,323.54358,323.0624,322.32327,322.0529,322.6263,323.81815,325.22638,328.0966,330.7885,332.17783,332.43372,332.23666,332.46555,331.3772,329.0674,327.30368,325.71106,324.4734,322.6043,320.6142,318.93323,317.86642,316.79382,315.46442,314.26517,313.06396,312.34784,311.7124,311.05072,310.08014,309.04126,308.67337,308.72388,309.47372,309.7029,310.00156,310.35184,311.18954,312.1871,313.02966,313.7904,314.94003,316.0438,316.66733,317.46,318.61407,319.11346,319.72546,320.57983,320.5074,319.89664,319.04288,317.30945,315.25314,313.0144,311.02948,308.8327,306.90134,305.4305,304.602,304.8509,304.69086,304.99155,305.50137,306.90997,308.84515,310.64838,312.6087,314.24292,315.13608,316.08838,316.85287,317.21463,317.46643,317.11157,316.8067,316.67883,317.76364,317.8826,317.7894,318.40448,319.3522,321.2328,323.56717,326.3369,329.3776,332.6044
2,99.16362,98.11033,96.71038,94.952095,93.3903,92.21451,91.37473,90.67897,90.65562,91.210526,91.99408,93.0563,94.2057,95.269196,96.139,96.669815,97.083565,97.51037,97.81109,97.91187,97.829254,98.12516,98.58906,99.0782,99.46708,99.5658,99.324615,98.81801,98.13402,97.44551,96.99118,96.66243,96.11137,95.45968,94.66855,93.902695,93.2612,92.5863,92.07259,91.542595,90.93426,90.52699,90.246376,90.137856,90.05751,89.848755,89.693794,89.6292,89.65508,89.96683,90.3856,90.90218,91.380424,91.76788,92.23862,93.13746,94.352875,95.490204,96.29636,97.041374,97.80684,98.30031,98.75555,99.27103,100.36036,101.3907,102.17301,103.114685,103.41979,102.996376,102.15421,101.154015,100.14261,99.37977,98.714966,98.072014,97.29708,96.49535,95.68592,94.80398,94.0143,93.3556,92.841866,92.59404,92.650085,92.99572,93.36526,93.7573,93.97073,93.93637,93.81524,93.85598,94.16317,94.95165,96.05479,97.20407,98.59484,99.87177,101.14232,102.28249,103.015495,103.32697,103.41843,103.32981,103.36118,103.52596,103.77031,104.02758,104.5859,105.105705,105.50037,105.72081,106.061386,106.53541,106.802124,106.8338,106.72367,106.61168,106.50676,106.48469,106.33764,106.12525,106.20477,106.42227,106.66169,106.75759,106.77887,106.68217,106.60825,106.711525,106.87868,107.41543,108.47524,109.81531,111.12425,112.55776,114.042076,115.58898,117.0125,118.45662,119.574234,120.28969,120.939644,121.57439,122.08144,122.376274,122.61204,122.860176,123.20467,123.673256,123.7701,123.6474,123.42653,123.286476,123.20522,123.1611,123.25579,123.277245,123.24606,122.98033,122.82326,122.66164,122.200356,121.61708,121.17831,120.764595,120.4819,120.260895,120.26115,120.24291,120.15915,119.78543,119.357124,119.08181,119.32655,119.89793,120.5541,121.12689,121.50234,121.47724,121.300835,121.17476,121.155045,121.74574,122.62503,123.84741,125.156364,126.304436,127.00643,127.4191,127.61242,127.9393,128.29195,128.49606,128.61214,128.66522,128.81218,128.86772,128.78165,128.7363,128.52301,128.30975,128.17152,128.36726,128.49663,128.61284,128.79808,129.29875,130.03484,130.86967,131.64316,132.31075,132.75334,133.10365,133.4478,133.79814,133.98598,134.18983,134.49805,134.77696,135.07297,135.33974,135.22734,134.67223,133.92033,133.19432,132.32181,131.6161,131.18883,130.84595,130.85371,130.89325,131.19551,131.58325,132.20801,132.96169,133.69601,134.55858,135.29318,135.76213,136.20236,136.61855,136.84613,136.93307,136.75461,136.54665,136.5121,135.48691,133.80081,131.89198,130.20416,128.73639,127.703094,127.07515,126.870735,127.003075,127.386604
3,103.858734,102.635216,101.00365,98.95641,97.17379,95.882126,95.02829,94.35066,94.47726,95.27568,96.309166,97.64463,99.05491,100.321396,101.29193,101.82185,102.1968,102.58357,102.84274,102.873695,102.69413,102.98564,103.505806,104.0594,104.48871,104.56321,104.23514,103.59355,102.75155,101.925316,101.41303,101.06952,100.44703,99.675316,98.710815,97.78469,97.01743,96.23391,95.659134,95.072914,94.40384,93.98276,93.71315,93.640366,93.58214,93.35504,93.16178,93.06566,93.07022,93.430336,93.91702,94.52787,95.06871,95.502625,96.02106,97.01986,98.36586,99.579216,100.36505,101.06308,101.82098,102.302086,102.777756,103.35937,104.66884,105.9615,106.95079,108.14999,108.51853,107.98186,106.952736,105.74752,104.56731,103.73944,103.04798,102.39363,101.57411,100.72824,99.868935,98.910484,98.05847,97.36006,96.84125,96.62972,96.76809,97.23228,97.70983,98.18777,98.42722,98.3445,98.1331,98.143776,98.48399,99.391235,100.65846,101.9717,103.55273,104.97204,106.39088,107.65189,108.41041,108.68207,108.69415,108.51107,108.52341,108.7044,109.00462,109.32235,110.01604,110.648056,111.0865,111.30617,111.66118,112.19365,112.48513,112.47948,112.27953,112.10067,111.96045,111.91384,111.71377,111.44123,111.53932,111.79971,112.11715,112.24963,112.279625,112.174675,112.09326,112.24887,112.47537,113.16359,114.514946,116.1915,117.788086,119.4912,121.209114,122.96588,124.55938,126.14257,127.30357,127.96385,128.55402,129.15314,129.605,129.86136,130.0794,130.35112,130.76276,131.34247,131.46524,131.31497,131.0365,130.85791,130.76663,130.71938,130.84924,130.89941,130.86658,130.53229,130.34055,130.14835,129.57454,128.86456,128.33205,127.8307,127.46392,127.22452,127.266075,127.28372,127.230545,126.83572,126.371025,126.0861,126.48927,127.30189,128.18565,128.93561,129.3626,129.28568,129.03113,128.84926,128.7889,129.52176,130.60565,132.11078,133.69984,135.05817,135.83362,136.23306,136.3472,136.64674,136.98952,137.15204,137.21646,137.20813,137.34492,137.38113,137.26036,137.19673,136.91154,136.64188,136.4737,136.7129,136.87071,136.99704,137.20659,137.79942,138.65984,139.60776,140.4564,141.17964,141.62456,141.96245,142.31764,142.69766,142.89043,143.11537,143.47069,143.7839,144.13422,144.44807,144.26965,143.52834,142.55034,141.62576,140.55699,139.73582,139.30135,138.96623,139.07024,139.20518,139.64429,140.1692,140.94852,141.85915,142.70866,143.69835,144.48474,144.92593,145.3227,145.7066,145.86188,145.8695,145.57542,145.25427,145.18274,143.8827,141.78967,139.46513,137.4695,135.79907,134.72116,134.17122,134.12822,134.47752,135.07393
4,114.361305,110.89841,106.90507,102.78847,99.31899,96.614105,94.6378,92.899475,92.7138,93.974884,95.68551,97.494125,98.91306,99.646835,99.792656,99.372536,98.75505,98.20605,97.68177,97.29786,96.86427,96.93064,97.1654,97.30762,97.009056,96.16202,95.11807,94.30686,93.59412,93.1963,93.26043,93.48929,93.42415,93.11819,92.36862,91.47661,90.792244,89.981766,89.35779,88.674,87.89688,87.422516,87.17177,87.28992,87.539955,87.605896,87.8812,88.398224,89.28375,90.88251,92.74077,94.85032,96.603745,97.847534,98.41896,98.9359,99.39065,99.61168,99.766945,100.104385,100.86614,101.58566,102.49493,103.64287,105.72074,106.9375,107.345314,107.21414,106.53742,105.41538,104.10428,103.08086,102.37898,102.132355,101.832146,101.42701,100.70278,100.024734,99.46537,98.77814,98.13279,97.64911,97.083626,96.53491,96.38627,96.36308,96.39267,96.491005,96.4225,96.084145,95.82244,95.92458,96.38684,97.45519,98.62476,99.5567,100.56707,101.26957,101.69961,101.84375,101.78934,101.52989,101.53794,101.91211,102.61084,103.30863,104.09973,104.50365,104.74192,104.86491,104.63706,103.98466,103.709435,103.70647,103.895355,104.12191,104.58078,105.06003,105.86875,106.67877,106.94841,107.1554,107.880974,108.2914,108.05695,107.66402,107.22893,106.86855,106.798904,106.930504,107.26007,108.09525,109.36287,110.48888,111.501305,112.582825,113.820984,115.316444,116.53007,117.26792,117.62781,117.9364,117.95395,118.43845,119.31734,120.17705,121.19051,122.3418,123.55238,124.80229,125.22433,125.50685,125.55565,125.86487,126.28846,126.69491,127.127426,127.30997,127.366295,127.22028,127.658226,128.25818,128.62442,129.05043,129.42986,129.5879,129.91644,130.27388,130.62375,130.66321,130.70741,130.40236,130.15794,130.2334,130.9293,131.93282,132.83775,133.47406,134.19846,134.16504,133.72652,132.95392,132.1385,131.27988,130.5288,130.44812,130.9441,131.45221,131.46129,131.28236,132.38701,134.39944,136.37064,137.78809,138.79077,139.3896,139.95557,140.03133,139.48682,138.52577,137.35747,136.41916,135.67732,135.31866,134.74953,134.33884,134.05345,134.1119,134.37825,135.1144,136.02875,136.8149,137.17532,137.57306,137.97441,138.96063,139.88318,141.13182,142.36163,142.83943,142.78485,142.11746,140.89084,138.74063,136.35374,134.4256,132.3314,130.45045,128.94362,128.00244,127.81319,127.48094,127.42034,127.38579,127.631386,128.04,128.6453,129.58112,130.6403,131.2996,131.99962,132.47444,132.32579,131.87965,130.89989,129.92987,129.34103,128.13058,126.51838,125.92137,126.599754,127.97584,130.08405,132.46582,134.75346,136.8232,138.86902
5,141.78749,143.88535,144.90926,145.40834,146.53244,148.10312,150.18732,151.16861,154.14073,158.80763,163.94621,169.30937,173.05467,174.9914,175.14757,174.01718,173.24612,173.45668,173.87787,173.74118,173.00513,173.84941,175.85907,177.98875,179.56247,179.69083,179.10745,179.67365,180.61429,182.47778,185.47916,188.23488,189.44666,188.99449,187.08478,184.24391,181.7717,178.10793,173.99539,168.5344,162.81187,158.42772,155.41869,153.23128,152.46391,152.01103,152.68188,155.08134,158.7009,162.81198,167.49223,172.53397,178.36983,183.50645,186.67311,189.80093,194.4804,199.6175,204.49022,209.30296,214.30016,216.8973,218.26921,220.80258,224.83542,228.3154,231.02168,234.5768,238.1879,241.5813,242.69844,243.12518,244.86656,246.7915,247.39738,246.17415,242.8293,238.76562,239.29504,241.85355,245.78502,249.65375,252.21451,254.6571,257.59042,259.88525,261.09143,262.90695,263.59283,262.7801,261.15027,260.94702,261.82565,265.38208,270.38437,275.96304,281.68893,287.20236,293.0475,297.59848,300.3681,301.45636,302.27386,303.3778,305.10397,307.2502,308.49396,308.09506,307.0135,306.49728,305.63956,303.59604,301.083,299.0757,298.01025,298.75848,300.94284,302.3832,303.31256,303.6817,302.33597,301.35886,301.09976,302.17,305.8308,309.38687,311.8413,312.9341,314.9189,317.86163,320.00095,321.95416,322.96878,322.88065,323.148,323.94437,326.55844,332.4097,338.68008,344.3298,348.0334,349.82358,363.0092,382.42563,405.274,423.08716,439.1814,450.88007,457.9964,460.31055,457.1896,453.01837,448.82983,446.2543,447.52744,454.22293,462.4506,470.73438,479.99265,487.06143,491.96857,493.4138,489.83087,486.0979,481.05362,475.42313,472.80923,472.2762,472.93362,473.92166,475.78207,477.3172,478.9515,483.09494,491.7089,500.69034,510.67804,521.6698,530.87775,535.0507,533.703,529.8693,526.7356,523.68726,521.87634,522.446,524.16656,525.9864,523.67084,520.04266,516.2729,514.1504,511.79855,506.01474,499.028,489.47156,485.01306,483.9954,484.46555,485.7305,487.3484,495.6206,503.9239,514.13617,524.0334,530.39655,535.47614,542.4024,549.9483,556.9159,561.0348,563.08307,560.8283,555.0137,546.64905,537.1272,527.5488,520.2516,515.2855,509.3815,504.1828,499.29944,493.0856,484.98642,478.09497,473.81558,471.08215,470.80173,473.16782,477.5804,485.00858,490.9061,496.3574,501.90726,508.6028,514.0304,519.01196,524.74603,530.19226,532.00903,532.77856,528.7054,519.4604,508.33505,496.0922,487.6011,483.34058,478.77045,472.46707,466.54233,462.76703,460.04413,461.22174,466.5636,476.37485,488.86273,501.71094
6,120.619125,115.59041,110.81073,106.5002,103.05926,100.99857,99.87558,99.839554,101.378075,103.72682,106.37601,109.176636,111.39616,112.891174,113.8926,114.31485,114.53073,114.69215,114.7306,114.44877,114.08783,114.54825,115.63642,117.24433,118.8648,119.52419,119.57441,119.42717,119.246994,118.95685,119.16007,119.75089,119.969025,120.27544,120.12529,119.99347,120.14366,120.17955,120.2376,120.19129,119.972824,120.12896,120.48139,121.32539,122.60103,123.93506,125.45667,126.86749,128.41066,129.85489,131.4651,133.02322,134.23409,134.90646,135.5259,136.36707,137.62039,138.95203,140.02773,141.42072,143.27032,144.71179,145.97383,147.41385,152.30296,158.27646,164.14255,169.87315,174.08806,176.51256,177.36974,177.84898,178.07967,177.93211,177.14319,176.16089,175.10696,174.03998,173.17848,172.35605,171.56415,171.41318,171.45879,171.71822,173.1286,174.944,176.7408,178.38025,179.43062,179.84592,180.02538,181.3716,183.53772,186.61967,188.89758,190.75029,192.61136,194.02852,195.51932,197.05212,198.1188,198.61945,199.25014,200.12149,201.43636,202.94662,204.56216,205.72507,207.00658,208.05963,208.79451,209.3036,210.28708,211.508,212.45125,213.05959,213.20865,212.84386,212.2438,211.57866,210.42212,209.34377,211.38528,214.91908,219.13719,222.83122,225.63072,227.30234,228.14206,228.51137,228.60614,228.52107,228.63504,228.62813,229.09047,229.72202,230.75304,232.3126,233.83249,235.44771,236.75903,238.03146,239.49138,241.83882,244.39137,246.99489,250.14421,253.18329,255.70094,257.64804,258.30316,258.36835,258.15665,258.4627,258.9982,259.8079,261.54486,263.43115,265.53998,267.22604,268.86316,270.67456,271.27454,272.1532,272.83548,272.96207,273.3875,273.78336,275.00528,276.21054,277.13794,278.20425,279.6383,282.23477,285.48712,288.2006,290.54865,292.58023,294.62772,294.99615,293.70258,291.49188,289.38364,287.9776,288.4481,291.18805,293.9538,296.90765,298.6969,299.63525,299.77936,300.13852,300.1055,299.1258,297.8915,296.2301,295.05322,293.7752,291.81912,288.82935,285.5229,283.13446,281.19473,280.41922,279.495,278.52106,278.13535,278.87064,279.74033,280.6833,281.59985,282.78943,283.8521,284.6825,285.21957,286.56808,287.48624,288.48337,290.08368,290.55798,290.72668,290.96652,290.62808,289.66006,288.862,288.4004,287.95538,287.45673,287.6516,287.73877,288.48712,288.8197,289.4359,290.0079,291.62158,293.81387,296.39987,299.498,302.06757,303.09943,303.9907,304.9557,305.08203,304.38757,302.94916,301.8973,300.965,298.84,295.2768,292.35065,290.6361,289.54745,290.03177,291.08423,292.71085,294.54254,296.57867
7,223.4861,225.69415,227.54767,227.46983,226.32147,223.76558,219.50726,214.11272,207.13292,201.5758,198.10083,195.7059,194.64046,193.61967,192.31987,190.66396,187.59084,184.28699,182.74487,182.39465,182.81332,183.39822,185.589,188.46143,191.4168,192.64029,192.39354,190.6399,188.14148,186.14117,183.39844,179.77434,175.58353,171.64606,167.48152,163.6339,159.06535,154.57527,149.28238,143.8791,137.47003,131.59262,127.71038,125.63081,123.207016,121.438385,119.88753,118.935165,119.18805,120.04008,121.63298,123.52277,125.23867,127.653305,129.91374,131.63849,133.53197,136.46454,139.70967,142.82726,147.27916,154.00952,160.0578,165.72137,171.40471,177.20958,182.59648,187.64276,192.11726,196.23222,200.33269,202.72777,203.57855,205.09239,207.37943,208.44763,209.40579,208.90608,208.02448,207.15543,205.80705,205.58546,205.8252,205.98186,204.70915,203.5486,202.12564,200.03386,197.15518,193.1272,188.9707,185.3516,183.48558,182.56358,182.73839,183.08195,183.83961,186.38205,188.94177,191.33784,193.13582,194.52412,195.20227,195.92082,196.73523,198.9099,200.16264,200.48157,199.39032,197.54672,195.41411,193.62994,191.55283,190.16936,189.25128,188.95404,188.74513,188.18935,185.48837,182.08585,178.37613,174.7198,170.75197,167.798,166.25609,165.45999,165.02924,164.89299,165.00858,166.25922,168.23509,170.11372,171.64021,173.17313,174.061,174.27806,174.08882,174.51375,175.59885,177.32161,180.21205,183.09412,185.29828,187.0092,189.21228,192.35684,196.00362,199.92421,204.27277,208.76176,213.214,217.47581,222.29599,227.95448,234.03783,240.65446,246.5227,251.11937,254.93747,259.44446,261.9947,263.7299,263.80133,261.08582,258.18768,256.21008,255.15587,255.27733,258.18185,262.6287,266.7254,269.8676,271.48724,272.04816,272.17966,272.73907,273.87796,276.27188,279.42432,282.3703,281.47342,278.20023,275.00327,271.77408,268.84412,265.44537,263.47998,262.6783,261.91797,260.4812,259.45386,258.1379,256.5578,254.82323,252.34377,250.12582,248.01353,245.90054,243.26526,239.80893,235.56966,230.96997,228.5543,227.91498,228.8395,229.7769,231.61122,233.75354,237.95886,242.79756,247.55937,250.14713,252.50787,253.86954,254.44302,254.13109,256.28296,258.832,261.77197,265.11087,268.05054,269.31326,269.59943,268.8047,266.67776,262.7862,258.6204,254.4612,250.40834,247.61343,246.33424,246.26158,246.31584,248.16098,250.66579,253.31805,255.62738,257.91586,259.82526,260.79736,260.2024,259.11142,257.96222,255.49706,249.9672,242.43506,234.66757,228.21739,222.85046,218.02254,214.28487,210.49268,207.54153,205.9874,206.92473,209.38574,212.37901
8,26.017803,26.004227,26.002893,25.979128,26.288937,26.632254,26.962496,27.140486,27.317354,27.489788,27.649715,27.782917,27.880577,27.988771,28.07673,28.16888,28.27656,28.452879,28.671455,28.805582,29.060825,29.389137,29.648972,29.833862,29.917625,29.928417,29.85029,29.764297,29.707163,29.689604,29.756857,29.819937,29.770908,29.662348,29.554604,29.543695,29.644579,29.775455,29.92676,30.08331,30.20901,30.325289,30.40686,30.52972,30.815447,31.302523,31.892382,32.40438,32.821625,33.144245,33.487835,33.889454,34.263756,34.531296,34.726566,34.91717,35.059372,35.12605,35.20464,35.335663,35.410236,35.429806,35.397892,35.34602,35.175697,34.942783,34.710896,34.615147,34.66516,34.8448,34.997166,35.184242,35.345284,35.40863,35.449463,35.50782,35.844097,36.11804,36.268497,36.335686,36.337734,36.358345,36.385418,36.17793,35.94523,35.730537,35.53233,35.435856,35.30535,34.956837,34.458485,34.066856,33.579323,33.257584,32.84903,32.511738,32.382683,32.443985,32.464783,32.407413,32.41503,32.42317,32.55465,32.733204,32.878384,33.076504,33.24941,33.3834,33.550144,33.68909,33.763443,33.805473,33.91423,34.140728,34.337852,34.43925,34.485004,34.500706,34.455906,34.414623,34.228878,34.110867,34.15441,34.23958,34.29856,34.540977,34.82407,35.07549,35.458298,35.82707,36.085274,36.260525,36.245518,36.146023,36.173134,36.14766,36.12594,36.15455,36.21249,36.309807,36.346294,36.18865,36.03291,35.94187,35.832073,35.638126,35.54272,35.57733,35.656513,35.826244,36.039814,36.248848,36.417393,36.473427,36.525234,36.591133,36.715324,36.862946,37.024906,37.169624,37.155396,36.9887,36.816967,36.75962,36.746643,36.81443,36.976665,37.210945,37.37318,37.376915,37.34942,37.27593,37.18596,37.278454,37.514385,37.744812,37.995647,38.245567,38.416218,38.61847,38.784744,38.89923,38.99195,39.114475,39.10429,39.121037,39.14856,39.24785,39.09422,38.91428,38.71505,38.66903,38.59859,38.51758,38.380062,38.19995,37.980278,37.59064,37.094994,36.634403,36.23369,35.958153,35.739826,35.638187,35.608696,35.62116,35.732597,35.91573,36.06938,36.067764,36.0308,35.92295,35.759224,35.578255,35.436974,35.422558,35.54306,35.81523,36.250877,36.668373,36.95892,37.20364,37.314083,37.359478,37.403797,37.411682,37.32124,37.23094,37.24055,37.25613,37.200363,37.173836,37.162666,37.24153,37.46664,37.598095,37.796528,38.03553,38.15757,38.10846,38.042324,37.97306,37.841877,37.612095,37.14079,36.647858,36.23186,35.91624,35.66472,35.405674,35.08685,34.857246,34.704975,34.750385,34.957428,35.29335,35.594955
9,341.02173,343.0134,344.2585,345.5391,346.32718,347.45862,348.82745,349.9063,351.21417,351.0316,350.34802,348.86862,347.3478,346.6667,346.63882,346.97147,347.46597,348.08444,349.03326,350.12704,351.03308,352.38696,353.7945,355.50284,356.71594,357.45328,358.1435,358.71628,358.18225,357.63077,356.32922,355.17102,353.89008,352.66357,351.4044,350.42526,350.46948,350.86737,351.681,352.3797,352.97122,353.59634,354.06564,354.31818,354.24323,353.60092,353.05423,351.41998,349.5862,348.50137,347.84958,347.75928,347.6589,347.04614,346.10397,344.59705,342.55515,340.775,339.6229,338.8055,337.7395,336.4884,335.5732,334.79736,333.11075,331.80917,330.7187,330.048,329.78558,329.8862,330.49014,331.8051,333.15137,333.24878,331.78543,329.73807,327.45334,325.3981,323.5481,321.48242,319.04672,316.14478,313.51123,311.36832,310.03183,309.35452,308.39255,307.52194,307.16046,306.967,307.7362,309.22736,311.21884,313.3139,315.22632,317.22943,318.85422,320.0827,321.10007,322.20383,323.11465,324.10205,324.87875,325.89365,327.1966,329.2087,331.79797,335.17102,339.22617,343.17014,346.3901,349.3134,352.3171,355.03214,357.0989,358.36053,359.07684,359.7999,361.41397,363.22794,365.13742,366.13312,367.79166,370.16394,373.64594,377.28976,383.16525,389.48697,395.40057,400.92773,405.24908,409.1302,412.31003,414.66327,416.31152,417.5883,418.60297,419.41483,420.45853,420.75574,419.61215,418.00122,416.41553,414.87296,413.66397,412.9872,413.351,414.82892,416.99173,419.22916,420.65826,422.33826,423.99988,425.41702,426.58704,427.67795,429.18887,430.20215,431.23788,432.2679,433.63052,435.15262,436.04855,437.60248,438.81088,440.26093,442.11166,443.29538,444.39297,445.07916,444.42004,443.16934,440.4004,437.17624,433.45477,431.22064,429.84268,429.51505,430.0555,432.00882,434.40363,436.56464,438.19632,438.9704,439.29138,439.6287,439.56464,439.14944,438.7039,437.78546,436.7309,436.1312,442.18005,451.8284,462.19608,472.58478,482.78305,492.57944,501.0459,507.03043,511.80554,515.68945,518.9995,521.6111,523.05664,524.25397,525.2017,525.92706,525.90344,526.08093,526.62134,527.4283,528.48706,530.85675,534.9657,540.4942,546.6059,552.36395,556.6098,558.02136,557.2801,555.72784,553.3443,548.901,543.8678,539.1814,534.97437,531.48926,528.294,524.93176,521.96124,518.267,515.1815,513.6862,515.4992,519.6001,525.3229,533.84546,543.49225,552.6271,561.1984,567.6736,572.1674,573.443,572.2028,568.89246,566.293,563.74567,559.8016,554.8128,550.3012,545.3908,540.88275,539.5478,538.9053,541.4357,545.8817
